KT,YT,TAZE HAVA ORANI,concat,TAZE HAVA,DÖNÜ? HAVASI,DÖNÜ? HAVASI ENTHALPY,KT,YT,Tmix Enthalpy,ÜFLEME ENTHALPY 15 C,Enthalpy Fark?,13,14,15,16,17,18,19,20,21,22,23,24
40,26,0,4026055.69,0,10000,55.69,27,50%,55.69,44.78,2.61,34.32,36.8,39.36,42.026,44.78,47.65,50.62,53.71,56.93,60.28,63.77,67.4
40,26,5,4026555.69,500,9500,55.69,27,,56.86,44.78,2.89,0,,,,,,,,,,,
40,26,10,40261055.69,1000,9000,55.69,27,50%,58.03,44.78,3.16,0,,,,,,,,,,,
40,26,15,40261555.69,1500,8500,55.69,27,,59.21,44.78,3.45,0,,,,,,,,,,,
40,26,20,40262055.69,2000,8000,55.69,27,50%,60.39,44.78,3.73,,,,,,,,,,,,
40,26,25,40262555.69,2500,7500,55.69,27,,61.59,44.78,4.01,,,,,,,,,,,,
40,26,30,40263055.69,3000,7000,55.69,27,50%,62.78,44.78,4.30,,,,,,,,,,,,
40,26,35,40263555.69,3500,6500,55.69,27,,64.36,44.78,4.68,,,,,,,,,,,,
40,26,40,40264055.69,4000,6000,55.69,27,50%,65.93,44.78,5.05,,,,,,,,,,,,
40,26,45,40264555.69,4500,5500,55.69,27,,66.78,44.78,5.25,,,,,,,,,,,,
40,26,50,40265055.69,5000,5000,55.69,27,50%,67.62,44.78,5.46,,,,,,,,,,,,
40,26,55,40265555.69,5500,4500,55.69,27,,68.85,44.78,5.75,,,,,,,,,,,,
40,26,60,40266055.69,6000,4000,55.69,27,50%,70.07,44.78,6.04,,,,,,,,,,,,
40,26,65,40266555.69,6500,3500,55.69,27,,71.31,44.78,6.34,,,,,,,,,,,,
40,26,70,40267055.69,7000,3000,55.69,27,50%,72.55,44.78,6.63,,,,,,,,,,,,
40,26,75,40267555.69,7500,2500,55.69,27,,73.80,44.78,6.93,,,,,,,,,,,,
40,26,80,40268055.69,8000,2000,55.69,27,50%,75.05,44.78,7.23,,,,,,,,,,,,
40,26,85,40268555.69,8500,1500,55.69,27,,76.32,44.78,7.53,,,,,,,,,,,,
40,26,90,40269055.69,9000,1000,55.69,27,50%,77.58,44.78,7.83,,,,,,,,,,,,
40,26,95,40269555.69,9500,500,55.69,27,,78.86,44.78,8.14,,,,,,,,,,,,
40,26,100,402610055.69,10000,0,55.69,27,50%,80.14,44.78,8.45,,,,,,,,,,,,
,,,,,,,,,,44.78,-10.70,,,,,,,,,,,,
40,25,0,4025055.69,0,10000,55.69,27,50%,55.69,44.78,2.61,,,,,,,,,,,,
40,25,5,4025555.69,500,9500,55.69,27,,56.66,44.78,2.84,,,,,,,,,,,,
40,25,10,40251055.69,1000,9000,55.69,27,50%,57.62,44.78,3.07,,,,,,,,,,,,
40,25,15,40251555.69,1500,8500,55.69,27,,58.60,44.78,3.30,,,,,,,,,,,,
40,25,20,40252055.69,2000,8000,55.69,27,50%,59.57,44.78,3.53,,,,,,,,,,,,
40,25,25,40252555.69,2500,7500,55.69,27,,60.56,44.78,3.77,,,,,,,,,,,,
40,25,30,40253055.69,3000,7000,55.69,27,50%,61.54,44.78,4.00,,,,,,,,,,,,
40,25,35,40253555.69,3500,6500,55.69,27,,62.53,44.78,4.24,,,,,,,,,,,,
40,25,40,40254055.69,4000,6000,55.69,27,50%,63.52,44.78,4.48,,,,,,,,,,,,
40,25,45,40254555.69,4500,5500,55.69,27,,64.53,44.78,4.72,,,,,,,,,,,,
40,25,50,40255055.69,5000,5000,55.69,27,50%,65.53,44.78,4.96,,,,,,,,,,,,
40,25,55,40255555.69,5500,4500,55.69,27,,66.54,44.78,5.20,,,,,,,,,,,,
40,25,60,40256055.69,6000,4000,55.69,27,50%,67.55,44.78,5.44,,,,,,,,,,,,
40,25,65,40256555.69,6500,3500,55.69,27,,68.57,44.78,5.68,,,,,,,,,,,,
40,25,70,40257055.69,7000,3000,55.69,27,50%,69.59,44.78,5.93,,,,,,,,,,,,
40,25,75,40257555.69,7500,2500,55.69,27,,70.62,44.78,6.17,,,,,,,,,,,,
40,25,80,40258055.69,8000,2000,55.69,27,50%,71.65,44.78,6.42,,,,,,,,,,,,
40,25,85,40258555.69,8500,1500,55.69,27,,72.69,44.78,6.67,,,,,,,,,,,,
40,25,90,40259055.69,9000,1000,55.69,27,50%,73.73,44.78,6.91,,,,,,,,,,,,
40,25,95,40259555.69,9500,500,55.69,27,,74.78,44.78,7.17,,,,,,,,,,,,
40,25,100,402510055.69,10000,0,55.69,27,50%,75.83,44.78,7.42,,,,,,,,,,,,
,,,55.69,,,55.69,27,,0.00,44.78,-10.70,,,,,,,,,,,,
40,24,0,4024055.69,0,10000,55.69,27,50%,55.69,44.78,2.61,,,,,,,,,,,,
40,24,5,4024555.69,500,9500,55.69,27,,56.46,44.78,2.79,,,,,,,,,,,,
40,24,10,40241055.69,1000,9000,55.69,27,50%,57.23,44.78,2.97,,,,,,,,,,,,
40,24,15,40241555.69,1500,8500,55.69,27,,58.01,44.78,3.16,,,,,,,,,,,,
40,24,20,40242055.69,2000,8000,55.69,27,50%,58.78,44.78,3.34,,,,,,,,,,,,
40,24,25,40242555.69,2500,7500,55.69,27,,59.57,44.78,3.53,,,,,,,,,,,,
40,24,30,40243055.69,3000,7000,55.69,27,50%,60.35,44.78,3.72,,,,,,,,,,,,
40,24,35,40243555.69,3500,6500,55.69,27,,61.14,44.78,3.91,,,,,,,,,,,,
40,24,40,40244055.69,4000,6000,55.69,27,50%,61.93,44.78,4.10,,,,,,,,,,,,
40,24,45,40244555.69,4500,5500,55.69,27,,62.73,44.78,4.29,,,,,,,,,,,,
40,24,50,40245055.69,5000,5000,55.69,27,50%,63.52,44.78,4.48,,,,,,,,,,,,
40,24,55,40245555.69,5500,4500,55.69,27,,64.33,44.78,4.67,,,,,,,,,,,,
40,24,60,40246055.69,6000,4000,55.69,27,50%,65.13,44.78,4.86,,,,,,,,,,,,
40,24,65,40246555.69,6500,3500,55.69,27,,65.96,44.78,5.06,,,,,,,,,,,,
40,24,70,40247055.69,7000,3000,55.69,27,50%,66.79,44.78,5.26,,,,,,,,,,,,
40,24,75,40247555.69,7500,2500,55.69,27,,67.59,44.78,5.45,,,,,,,,,,,,
40,24,80,40248055.69,8000,2000,55.69,27,50%,68.38,44.78,5.64,,,,,,,,,,,,
40,24,85,40248555.69,8500,1500,55.69,27,,69.21,44.78,5.83,,,,,,,,,,,,
40,24,90,40249055.69,9000,1000,55.69,27,50%,70.03,44.78,6.03,,,,,,,,,,,,
40,24,95,40249555.69,9500,500,55.69,27,,70.87,44.78,6.23,,,,,,,,,,,,
40,24,100,402410055.69,10000,0,55.69,27,50%,71.70,44.78,6.43,,,,,,,,,,,,
,,,55.69,,,55.69,27,,0.00,44.78,-10.70,,,,,,,,,,,,
40,23,0,4023055.69,0,10000,55.69,27,50%,55.69,44.78,2.61,,,,,,,,,,,,
40,23,5,4023555.69,500,9500,55.69,27,,56.28,44.78,2.75,,,,,,,,,,,,
40,23,10,40231055.69,1000,9000,55.69,27,50%,56.86,44.78,2.89,,,,,,,,,,,,
40,23,15,40231555.69,1500,8500,55.69,27,,57.45,44.78,3.02,,,,,,,,,,,,
40,23,20,40232055.69,2000,8000,55.69,27,50%,58.03,44.78,3.16,,,,,,,,,,,,
40,23,25,40232555.69,2500,7500,55.69,27,,58.62,44.78,3.30,,,,,,,,,,,,
40,23,30,40233055.69,3000,7000,55.69,27,50%,59.20,44.78,3.44,,,,,,,,,,,,
40,23,35,40233555.69,3500,6500,55.69,27,,59.80,44.78,3.59,,,,,,,,,,,,
40,23,40,40234055.69,4000,6000,55.69,27,50%,60.39,44.78,3.73,,,,,,,,,,,,
40,23,45,40234555.69,4500,5500,55.69,27,,60.99,44.78,3.87,,,,,,,,,,,,
40,23,50,40235055.69,5000,5000,55.69,27,50%,61.59,44.78,4.01,,,,,,,,,,,,
40,23,55,40235555.69,5500,4500,55.69,27,,62.20,44.78,4.16,,,,,,,,,,,,
40,23,60,40236055.69,6000,4000,55.69,27,50%,62.80,44.78,4.30,,,,,,,,,,,,
40,23,65,40236555.69,6500,3500,55.69,27,,63.41,44.78,4.45,,,,,,,,,,,,
40,23,70,40237055.69,7000,3000,55.69,27,50%,64.02,44.78,4.60,,,,,,,,,,,,
40,23,75,40237555.69,7500,2500,55.69,27,,64.64,44.78,4.74,,,,,,,,,,,,
40,23,80,40238055.69,8000,2000,55.69,27,50%,65.25,44.78,4.89,,,,,,,,,,,,
40,23,85,40238555.69,8500,1500,55.69,27,,65.87,44.78,5.04,,,,,,,,,,,,
40,23,90,40239055.69,9000,1000,55.69,27,50%,66.49,44.78,5.19,,,,,,,,,,,,
40,23,95,40239555.69,9500,500,55.69,27,,67.12,44.78,5.33,,,,,,,,,,,,
40,23,100,402310055.69,10000,0,55.69,27,50%,67.74,44.78,5.48,,,,,,,,,,,,
,,,55.69,,,55.69,27,,0.00,44.78,-10.70,,,,,,,,,,,,
40,22,0,4022055.69,0,10000,55.69,27,50%,55.69,44.78,2.61,,,,,,,,,,,,
40,22,5,4022555.69,500,9500,55.69,27,,56.09,44.78,2.70,,,,,,,,,,,,
40,22,10,40221055.69,1000,9000,55.69,27,50%,56.49,44.78,2.80,,,,,,,,,,,,
40,22,15,40221555.69,1500,8500,55.69,27,,56.90,44.78,2.89,,,,,,,,,,,,
40,22,20,40222055.69,2000,8000,55.69,27,50%,57.30,44.78,2.99,,,,,,,,,,,,
40,22,25,40222555.69,2500,7500,55.69,27,,57.71,44.78,3.09,,,,,,,,,,,,
40,22,30,40223055.69,3000,7000,55.69,27,50%,58.11,44.78,3.18,,,,,,,,,,,,
40,22,35,40223555.69,3500,6500,55.69,27,,58.52,44.78,3.28,,,,,,,,,,,,
40,22,40,40224055.69,4000,6000,55.69,27,50%,58.92,44.78,3.38,,,,,,,,,,,,
40,22,45,40224555.69,4500,5500,55.69,27,,59.33,44.78,3.48,,,,,,,,,,,,
40,22,50,40225055.69,5000,5000,55.69,27,50%,59.74,44.78,3.57,,,,,,,,,,,,
40,22,55,40225555.69,5500,4500,55.69,27,,60.16,44.78,3.67,,,,,,,,,,,,
40,22,60,40226055.69,6000,4000,55.69,27,50%,60.57,44.78,3.77,,,,,,,,,,,,
40,22,65,40226555.69,6500,3500,55.69,27,,60.99,44.78,3.87,,,,,,,,,,,,
40,22,70,40227055.69,7000,3000,55.69,27,50%,61.41,44.78,3.97,,,,,,,,,,,,
40,22,75,40227555.69,7500,2500,55.69,27,,61.83,44.78,4.07,,,,,,,,,,,,
40,22,80,40228055.69,8000,2000,55.69,27,50%,62.25,44.78,4.17,,,,,,,,,,,,
40,22,85,40228555.69,8500,1500,55.69,27,,62.68,44.78,4.27,,,,,,,,,,,,
40,22,90,40229055.69,9000,1000,55.69,27,50%,63.10,44.78,4.38,,,,,,,,,,,,
40,22,95,40229555.69,9500,500,55.69,27,,63.53,44.78,4.48,,,,,,,,,,,,
40,22,100,402210055.69,10000,0,55.69,27,50%,63.96,44.78,4.58,,,,,,,,,,,,
,,,55.69,,,55.69,27,,0.00,44.78,-10.70,,,,,,,,,,,,
40,21,0,4021055.69,0,10000,55.69,27,50%,55.69,44.78,2.61,,,,,,,,,,,,
40,21,5,4021555.69,500,9500,55.69,27,,55.92,44.78,2.66,,,,,,,,,,,,
40,21,10,40211055.69,1000,9000,55.69,27,50%,56.14,44.78,2.71,,,,,,,,,,,,
40,21,15,40211555.69,1500,8500,55.69,27,,56.37,44.78,2.77,,,,,,,,,,,,
40,21,20,40212055.69,2000,8000,55.69,27,50%,56.59,44.78,2.82,,,,,,,,,,,,
40,21,25,40212555.69,2500,7500,55.69,27,,56.82,44.78,2.88,,,,,,,,,,,,
40,21,30,40213055.69,3000,7000,55.69,27,50%,57.05,44.78,2.93,,,,,,,,,,,,
40,21,35,40213555.69,3500,6500,55.69,27,,57.28,44.78,2.99,,,,,,,,,,,,
40,21,40,40214055.69,4000,6000,55.69,27,50%,57.51,44.78,3.04,,,,,,,,,,,,
40,21,45,40214555.69,4500,5500,55.69,27,,57.74,44.78,3.10,,,,,,,,,,,,
40,21,50,40215055.69,5000,5000,55.69,27,50%,57.97,44.78,3.15,,,,,,,,,,,,
40,21,55,40215555.69,5500,4500,55.69,27,,58.20,44.78,3.21,,,,,,,,,,,,
