MAHALLER,KISI BASI TAZE HAVA,CEVRIM,Basinc,Carpan
RESTAURANT,20,8,10,0.9
SINIF,14,6,10,0.9
BALO SALONU,15,7,10,0.9
DISCO,40,10,10,0.9
SPA,12,5,-10,1.1
Toplanti Odasi,35,8,10,0.9
Oditoryum,25,8,10,0.9
Guzellik Salonu,25,10,0,1
Kafe,35,12,10,0.9
Kumarhane,50,12,0,1
Sinema,25,8,10,0.9
Konferans Salonu,35,8,10,0.9
Jimnastik Salonu,50,6,0,1
Kuafor,25,14,-10,1.1
Mutfak - Domestik,35,20,-10,1.1
Mutfak- Ticari,35,25,-10,1.1
Kutuphane,25,5,0,1
Ofis,35,6,0,1
Lokanta,35,10,10,0.9
Dershane,25,7,10,0.9
Ma?aza,20,6,0,1
Kapali Havuz,30,10,-10,1.1
Tiyatro,25,6,10,0.9
Havasi bozulmayan is yeri,15,4,0,1
