?EH?R,KT,YT,
CHERNIHIV,30,20,3020
DNIPROPETROVK,32,21,3221
DONETSK,32,20,3220
KHARKIV,31,20,3120
KHERSON,33,21,3321
KRYVYI RIH,32,20,3220
KYIV,30,20,3020
LUHANSK,33,20,3320
LYIV,28,20,2820
MARIUPOL,30,22,3022
ODESA,32,21,3221
POLTAVA,30,21,3021
SIMFEROPOL,33,20,3320
VINNYTSIA,29,20,2920
ZAPORIZHZHIA,33,20,3320
ADANA,38,26,3826
ADIYAMAN,38,22,3822
AFYON,34,21,3421
A?RI,34,25,3425
AMASYA,31,21,3121
ANKARA,35,21,3521
ANTALYA,39,28,3928
ARTV?N,30,26,3026
AYDIN,39,26,3926
BALIKES?R,38,27,3827
BANDIRMA,34,25,3425
B?LEC?K,34,23,3423
B?NG�L,33,21,3321
B?TL?S,34,22,3422
BOLU,34,24,3424
BURDUR,36,21,3621
BURSA,37,25,3725
�ANAKKALE,34,25,3425
�ANKIRI,34,26,3426
�ORUM,29,19,2919
DEN?ZL?,38,24,3824
D?YARBAKIR,42,23,4223
ED?RNE,36,25,3625
ELAZI?,38,21,3821
ERZ?NCAN,36,22,3622
ERZURUM,31,23,3123
ESK??EH?R,34,24,3424
GAZ?ANTEP,39,23,3923
G?RESUN,29,25,2925
G�M�?HANE,33,23,3323
HAKKAR?,34,20,3420
ANTAKYA,37,28,3728
?SKENDERUN,37,29,3729
ISPARTA,34,21,3421
MERS?N,35,29,3529
TARSUS,36,28,3628
?STANBUL,33,24,3324
?ZM?R,37,25,3725
KARS,30,20,3020
KASTAMONU,34,22,3422
KAYSER?,36,23,3623
KIRKLAREL?,35,25,3525
KIR?EH?R,35,21,3521
KOCAEL? (?ZM?T),36,25,3625
KONYA,34,22,3422
K�TAHYA�,33,21,3321
MALATYA,38,21,3821
MAN?SA,40,26,4026
KAHRAMANMARA?,36,22,3622
MARD?N,38,23,3823
MU?LA,37,22,3722
MU?,32,20,3220
NEV?EH?R,28,17,2817
N??DE,34,20,3420
ORDU,30,22,3022
R?ZE,30,26,3026
SAKARYA,35,25,3525
SAMSUN,32,25,3225
S??RT,40,23,4023
S?NOP,30,25,3025
S?VAS,33,20,3320
TEK?RDA?,33,25,3325
TOKAT,29,20,2920
TRABZON,31,25,3125
TUNCEL?,37,22,3722
?ANLIURFA,43,24,4324
U?AK,35,22,3522
VAN,33,21,3321
YOZGAT,32,20,3220
ZONGULDAK,32,25,3225
NAH�IVAN,40,26,4026
LEFKO?A,40,26,4026
G.MAGOSA,38,28,3828
LEFKE,38,27,3827
G�ZELYURT,38,28,3828
KARPAZ,40,27,4027
G?RNE,38,28,3828
KONGO,34,23,3423
