KT,YT,TAZE HAVA ORANI,,T1 ENTHALPY,TAZE HAVA,DÖNÜ? HAVASI,DÖNÜ? HAVASI ENTHALPY,KT,YT,Tmix Enthalpy,,,ÜFLEME ENTHALPY 15 C,TOPLU HAVA DEB?S?,Enthalpy Fark?,13,14,15,16,17,18,19,20,21,22,23,24
40,26,0,4026027,80.14,0,10000,55.69,27,50%,55.69,,,44.78,,2.61,34.32,36.8,39.36,42.026,44.78,47.65,50.62,53.71,56.93,60.28,63.77,67.4
40,26,5,4026527,,500,9500,55.69,27,,56.86,,,44.78,,2.89,,,,,,,,,,,,
40,26,10,40261027,,1000,9000,55.69,27,50%,58.03,,,44.78,,3.16,,,,,,,,,,,,
40,26,15,40261527,,1500,8500,55.69,27,,59.21,,,44.78,,3.45,,,,,,,,,,,,
40,26,20,40262027,,2000,8000,55.69,27,50%,60.39,,,44.78,,3.73,,,,,,,,,,,,
40,26,25,40262527,,2500,7500,55.69,27,,61.59,,,44.78,,4.01,,,,,,,,,,,,
40,26,30,40263027,,3000,7000,55.69,27,50%,62.78,,,44.78,,4.30,,,,,,,,,,,,
40,26,35,40263527,,3500,6500,55.69,27,,64.36,,,44.78,,4.68,,,,,,,,,,,,
40,26,40,40264027,,4000,6000,55.69,27,50%,65.93,,,44.78,,5.05,,,,,,,,,,,,
40,26,45,40264527,,4500,5500,55.69,27,,66.78,,,44.78,,5.25,,,,,,,,,,,,
40,26,50,40265027,,5000,5000,55.69,27,50%,67.62,,,44.78,,5.46,,,,,,,,,,,,
40,26,55,40265527,,5500,4500,55.69,27,,68.85,,,44.78,,5.75,,,,,,,,,,,,
40,26,60,40266027,,6000,4000,55.69,27,50%,70.07,,,44.78,,6.04,,,,,,,,,,,,
40,26,65,40266527,,6500,3500,55.69,27,,71.31,,,44.78,,6.34,,,,,,,,,,,,
40,26,70,40267027,,7000,3000,55.69,27,50%,72.55,,,44.78,,6.63,,,,,,,,,,,,
40,26,75,40267527,,7500,2500,55.69,27,,73.80,,,44.78,,6.93,,,,,,,,,,,,
40,26,80,40268027,,8000,2000,55.69,27,50%,75.05,,,44.78,,7.23,,,,,,,,,,,,
40,26,85,40268527,,8500,1500,55.69,27,,76.32,,,44.78,,7.53,,,,,,,,,,,,
40,26,90,40269027,,9000,1000,55.69,27,50%,77.58,,,44.78,,7.83,,,,,,,,,,,,
40,26,95,40269527,,9500,500,55.69,27,,78.86,,,44.78,,8.14,,,,,,,,,,,,
40,26,100,402610027,,10000,0,55.69,27,50%,80.14,,,44.78,,8.45,,,,,,,,,,,,
,,,,,,,,,,,,,44.78,,-10.70,,,,,,,,,,,,
